"iso","scope","quintile","gender","population","population_perc","year_survey","pais_c","zone","sex","quintileipc","population_prc","ave_income_pc","max_income_pc","ave_hh_income","max_hh_income","access_water_piped_house__hh","access_water_piped_plot__hh","water_trucked__hh","water_on_premises__hh","water_distr__hh","consume_distr__hh","consume_other_max__hh","consume_other_min__hh","consume_bottled__hh","water_dist_daily__hh","water_dist_continuity_jmp__hh","improved_w_access_min__hh","improved_w_access_max__hh","access_water_piped_house_daily__hh","access_water_piped_plot_daily__hh","treat_water__hh","water_meter__hh","access_san_exclusive__hh","access_sewer__hh","access_septic__hh","access_latrine_min__hh","access_latrine_max__hh","access_sewer_exclusive__hh","access_septic_exclusive__hh","access_latrine_exclusive_min__hh","access_latrine_exclusive_max__hh","improved_san_min__hh","improved_san_max__hh","improved_san_min_exclusive__hh","improved_san_max_exclusive__hh","access_latrines_unimproved_min__hh","access_latrines_unimproved_max__hh","access_latrines_unimproved_exclusive_min__hh","no_sanitation_access__hh","name"
NA,NA,NA,NA,18419192,NA,2017,"CHL","urban","female","total",0.339,251000,22000000,983000,79800000,0.977,0.0176,0.000962,0.996,0.997,0.995,0.00414,0.00298,0,NA,NA,0.998,0.999,NA,NA,NA,0.991,NA,0.971,0.0162,0.00867,0.00867,NA,NA,NA,NA,0.996,0.996,NA,NA,0.00388144088247602,0.00388144088247602,NA,0.00342333867156651,"NA_2017"
NA,NA,NA,NA,18419192,NA,2017,"CHL","urban","male","1",0.0829,74400,106000,395000,1490000,0.973,0.0208,0.0012,0.995,0.996,0.994,0.00532,0.0031,0,NA,NA,0.997,0.999,NA,NA,NA,0.984,NA,0.956,0.0218,0.016,0.016,NA,NA,NA,NA,0.994,0.994,NA,NA,0.00615813977379252,0.00615813977379252,NA,0.00602687266091279,"NA_2017"
NA,NA,NA,NA,18419192,NA,2017,"CHL","urban","male","2",0.0989,133000,160000,686000,1680000,0.978,0.0179,0.000629,0.997,0.998,0.996,0.00347,0.00238,0,NA,NA,0.998,1,NA,NA,NA,0.992,NA,0.968,0.0209,0.00771,0.00771,NA,NA,NA,NA,0.997,0.997,NA,NA,0.00306478196446373,0.00306478196446373,NA,0.00294356567661304,"NA_2017"
NA,NA,NA,NA,18419192,NA,2017,"CHL","urban","male","3",0.109,195000,235000,933000,3010000,0.981,0.0154,0.000413,0.996,0.997,0.996,0.00273,0.0018,0,NA,NA,0.998,0.999,NA,NA,NA,0.992,NA,0.966,0.0207,0.00982,0.00982,NA,NA,NA,NA,0.996,0.996,NA,NA,0.00369359583863238,0.00369359583863238,NA,0.00335300121718911,"NA_2017"
NA,NA,NA,NA,18419192,NA,2017,"CHL","urban","male","4",0.121,298000,388000,1360000,6100000,0.982,0.0145,0.000562,0.997,0.998,0.996,0.00316,0.00246,0,NA,NA,0.999,1,NA,NA,NA,0.994,NA,0.975,0.015,0.00768,0.00768,NA,NA,NA,NA,0.998,0.998,NA,NA,0.00194132672200192,0.00194132672200192,NA,0.00171232960677714,"NA_2017"
NA,NA,NA,NA,18419192,NA,2017,"CHL","urban","male","5",0.133,850000,48900000,3070000,74900000,0.986,0.0121,0.0000553,0.998,0.999,0.998,0.0014,0.000702,0,NA,NA,0.999,1,NA,NA,NA,0.997,NA,0.981,0.0127,0.00513,0.00513,NA,NA,NA,NA,0.999,0.999,NA,NA,0.00124387016011182,0.00124387016011182,NA,0.000801398934002389,"NA_2017"
NA,NA,NA,NA,18419192,NA,2017,"CHL","urban","male","total",0.536,319000,48900000,1320000,74900000,0.981,0.0157,0.000518,0.997,0.998,0.996,0.00303,0.00198,0,NA,NA,0.998,0.999,NA,NA,NA,0.992,NA,0.971,0.0177,0.00875,0.00875,NA,NA,NA,NA,0.997,0.997,NA,NA,0.0029644451492806,0.0029644451492806,NA,0.00269501935362609,"NA_2017"
NA,NA,NA,NA,16776977,NA,2017,"ECU","country","all","1",0.2,49,80.7,316,1100,0.434,0.184,0.028,0.646,0.618,0.618,0.273,0.0395,0,NA,NA,0.658,0.891,NA,NA,NA,0.365,0.79,0.384,0.331,0,0,0.335,0.295,0,0,0.715,0.715,0.63,0.630238940334782,0.284694049714385,0.284694049714385,0.369761059665218,0.0905110313406833,"NA_2017"
NA,NA,NA,NA,16776977,NA,2017,"ECU","country","all","2",0.2,105,130,622,1720,0.633,0.138,0.0297,0.801,0.771,0.771,0.193,0.0375,0,NA,NA,0.809,0.965,NA,NA,NA,0.442,0.862,0.553,0.316,0,0,0.492,0.278,0,0,0.869,0.869,0.77,0.769540199780552,0.131311032218863,0.131311032218863,0.230459800219448,0.0221617622203243,"NA_2017"
NA,NA,NA,NA,16776977,NA,2017,"ECU","country","all","3",0.2,161,198,877,2840,0.737,0.102,0.0195,0.859,0.839,0.839,0.143,0.0288,0,NA,NA,0.868,0.982,NA,NA,NA,0.39,0.897,0.662,0.259,0,0,0.605,0.235,0,0,0.921,0.921,0.84,0.840400632959643,0.0789369674257823,0.0789369674257823,0.159599367040357,0.0093232175710799,"NA_2017"
